,target_0,target_1,target_2,target_3,target_4,target_5,target_6,target_7,target_8,target_9,target_10,target_11,target_12,target_13,target_14,target_15,target_16,target_17,target_18
source_0,0.13334422,-0.00021082452,-0.00018406408,0.00010483756,0.0006658678,0.001700043,0.0013757787,-0.0010794888,0.00048343148,0.00047027483,-0.0009428998,0.00082401244,-0.0009475373,0.0011166866,0.0010165855,0.0020587777,-0.0027745762,-0.001869033,-0.00026701973
source_1,0.0010616614,0.28688017,-0.00064626895,0.0003803923,-0.00025770772,0.0007715436,-0.0010746064,-0.0037975614,0.00043594814,0.0005539807,0.00011938565,-0.0016475674,-0.0014871183,-0.00048230944,-0.00038037935,0.0001377131,0.00011453509,-0.0019696427,0.00065479457
source_2,-0.00033730408,-0.00026261687,0.19260997,-0.0015757454,-0.0007982209,0.0004602534,2.954876e-05,-0.0005140047,-0.000505996,0.00020907633,-0.0003076658,-0.0015673309,-0.00020824444,-0.0009966306,-0.0008552806,-0.00036566,0.00033424163,0.00024373195,0.00013067102
source_3,-3.9334234e-05,0.0019630913,-0.00067084114,0.24484192,-0.0008779973,-0.00020448907,-0.00034944405,-0.00014973374,0.00040388762,0.0010456876,-9.39222e-05,0.0033748725,3.527017e-05,0.0019848843,-0.0013665342,-0.0002636748,-0.0039752536,0.000372413,-0.0008841036
source_4,0.0003597637,0.0011121614,-0.0006495351,-0.00033197217,0.099398926,-0.000832856,-0.000357074,-0.00042867332,0.00013100971,0.0008593491,-0.00011850491,0.00049561745,0.0005362706,0.00053775235,0.00018128476,0.0015540526,0.00033340656,-0.00042745817,-0.0002474388
source_5,-0.0025019574,0.0006992851,-0.0005038913,0.0010137282,2.0272852e-05,0.14856887,0.0009647397,-0.000113261376,0.0017665899,-0.0013129977,-0.0002888518,0.0112187285,0.00039972021,-0.0010028348,-0.00030187453,-0.00056379155,0.0021624195,0.001343902,2.1965332e-05
source_6,-0.0012117919,0.00097360346,0.0011165413,-0.00056751544,0.00032595661,0.001391012,0.082761966,0.0007696819,-0.00042565024,-0.00070322095,-0.00042916177,-0.002399983,-0.00015847273,-0.0023369074,0.00017109611,0.0012970056,0.0007742073,-0.0014683602,0.00032330875
source_7,-0.00083764334,0.00023943938,-0.000520233,-0.0006867276,-0.00040462636,0.0006179309,-0.0021116366,0.15999673,-0.00018150733,-0.00027868996,-0.0005985963,-0.0034000373,0.0013058857,-0.0011690124,0.00055656245,-0.00054084865,0.00067102496,-0.0018723157,-0.00037204623
source_8,-0.0017606945,-0.0004023215,-0.0009902607,-0.00047406298,-0.0006060775,-0.0009722705,-0.0005145427,-0.005068346,0.044862393,0.0007772477,-0.0012587527,-0.002639008,-0.0010801674,-0.003308048,-0.00078594574,0.0033306999,-4.8521877e-05,-0.0028835577,-0.00027982818
source_9,-0.001130806,-0.0006325514,-0.0015078122,0.0010748971,0.0001929497,0.003046184,-0.0015361938,-0.0007898312,0.00093565125,0.12954995,0.001053953,0.0030031959,0.00053378637,0.0024307794,-0.00013333136,0.00024453294,-0.00034197213,0.0011495836,-0.0010440744
source_10,-0.0019420387,0.0003514371,0.00080452464,-0.00054443657,-0.00023315495,5.5518965e-05,-0.0004782526,-0.0010968295,-0.001000594,5.7599667e-05,0.14212678,-0.00029543266,0.00051748805,0.00026793787,-0.0005592704,0.0006745688,-0.00082005176,-0.0010454512,0.00067050144
source_11,-0.0012023124,0.0029870202,0.00061359146,0.0016883468,-0.00053323334,0.006276272,0.0009185212,-0.0019523642,0.001405462,-0.000729007,2.4224879e-05,0.21823925,-0.0021469973,0.00062773615,0.000624041,-0.0007131733,0.0012307501,-0.0025736343,0.00026370428
source_12,-0.002838497,0.00070705474,-0.0013736419,-0.0013062777,0.00066435337,0.0070151095,-0.0010441903,-0.0014515911,-0.00078007404,1.3779483e-05,-0.00038412746,0.04516486,0.12697984,0.00465131,0.0021781924,0.00290026,-0.004170261,0.0026433174,-0.0003429693
source_13,0.00086319755,0.00057365594,-0.0018896948,0.002975873,-0.00019232812,0.0001010511,-0.00028835743,-0.00054233405,-0.0004972786,-7.487089e-05,-0.0019357408,0.010215131,0.00035942273,0.25315025,3.2613003e-05,-0.0022686475,-0.00017742683,0.006439757,0.0030319144
source_14,-0.00018081265,0.0007530302,-0.0009714347,0.00045648377,8.614939e-06,0.0004936225,0.0006580468,-0.00075626257,-0.00023931121,-0.0016421298,-0.00029566255,0.0043942383,0.00078915624,-0.003460915,0.1643368,0.0019727862,-0.006221514,0.0015754553,-0.0014577459
