lag,mean_abs_weight
0,0.0023214845
1,0.002249049
2,0.0022030014
3,0.0022092825
4,0.0022670662
5,0.0021827396
6,0.0021560043
7,0.002237609
8,0.0021331385
9,0.0021996696
10,0.0022910407
11,0.0022524623
12,0.0022700187
13,0.0022742741
14,0.0021325564
15,0.002164347
16,0.0022181817
17,0.002243508
18,0.0023779217
19,0.0023703012
20,0.0023511206
21,0.0024190617
22,0.002412954
23,0.0022717742
24,0.0023304634
25,0.0023211315
26,0.0023967468
27,0.0023891176
28,0.0025201815
29,0.0024282807
30,0.0025834148
31,0.0025430408
32,0.0025594418
33,0.0025468678
34,0.0025961387
35,0.0026772288
36,0.002944316
37,0.0029514132
38,0.0029734846
39,0.0031129923
40,0.0033763016
41,0.0037514865
42,0.004430946
43,0.004798803
44,0.0057463767
45,0.0062855473
46,0.007405562
47,0.012747867
48,0.0236756
49,0.039963827
