source_roi,target_roi,empirical_mi_drop
12,11,0.054996763137239446
13,11,0.014357045960772807
5,11,0.010640532524377244
13,17,0.006396757740998904
11,5,0.0059854438208818694
12,5,0.0059276890039687835
15,17,0.005021379160503298
17,13,0.004984766112276606
14,11,0.004762693720437472
3,11,0.004647929504298598
15,11,0.004404289521372284
12,17,0.0036699223856650753
12,13,0.0033473638720504795
9,11,0.0030978521527519343
3,13,0.0027856902284345564
5,17,0.002553441430047765
17,12,0.0023264988572731515
9,17,0.002263461565704006
15,14,0.002202420580172171
13,3,0.0019306291414328824
14,17,0.0019293861579349758
17,15,0.0018497349336450974
5,8,0.001747848404457436
13,1,0.0017308400861326678
12,14,0.0016119571019139745
12,15,0.0015940613825119465
3,17,0.0014284016071808847
15,2,0.00142238453510532
9,5,0.0012970740697422767
17,3,0.0012244556672905138
15,5,0.001187703671202911
17,11,0.0011598688297649318
9,13,0.0011346762846442537
13,18,0.001051346464189029
3,12,0.0010141534094992855
11,1,0.0009583444842679034
11,13,0.0008548166682336156
14,1,0.0007802715247319791
18,13,0.0007656050924744195
17,14,0.000717662113627171
17,2,0.0007036279800972656
15,18,0.0007020711684336822
7,12,0.0006620202133305053
1,5,0.0006340382421821944
11,14,0.0006328045775804148
7,10,0.0006177491699526916
11,3,0.0006168083240690736
18,4,0.0005985110068698202
6,12,0.000592638714629723
14,12,0.0005471624322139768
15,12,0.0004992679826599233
3,8,0.0004910905884904573
11,8,0.00045914875521523013
7,17,0.00043861660775884603
13,4,0.00041198666129725614
0,12,0.00040488140666045114
13,8,0.00039450455967308257
17,7,0.0003917645828524774
4,13,0.0003895926302394104
10,12,0.0003833766528635041
10,7,0.00037118868855903764
17,1,0.0003565912109846914
0,6,0.00034955816001207285
1,13,0.00033676030104251575
12,18,0.00033642266753058925
11,7,0.0003313064171253377
18,17,0.00032499824718551507
1,8,0.00031332865338831034
17,10,0.00028846375833610494
5,12,0.00028408025610809906
12,4,0.0002814041193375666
9,3,0.0002719460935660667
15,8,0.0002651015871827228
17,8,0.0002512346158614204
2,17,0.0002335903617457502
0,8,0.000225650354981434
11,4,0.0002140585511214016
8,2,0.00021355897276759128
1,3,0.00020674208743587386
6,0,0.00020248041756723567
12,10,0.00019637475174763552
6,2,0.00018492959067276105
11,2,0.00017804394116177624
10,18,0.0001727403922405779
7,9,0.0001676126989694493
6,18,0.00016071195569608565
4,15,0.0001581822102224295
2,1,0.00015582533970842638
18,0,0.00015299909417762492
3,5,0.00014262801747527698
4,12,0.00014045144023766554
7,8,0.0001371955248524459
7,15,0.00013621725321460998
4,9,0.00013200815918168463
2,10,0.00012976793809529874
17,0,0.00012966960051838394
4,6,0.00012169823641043631
13,12,0.00011977043263003417
4,7,0.00010387808130782328
16,3,0.0001006372335202177
10,4,7.55290205626119e-05
4,10,6.620922173802835e-05
0,5,5.301946883490283e-05
2,6,4.3702977952086997e-05
5,6,4.257391140387312e-05
9,10,4.067196416435159e-05
4,8,3.9070017004490254e-05
2,18,3.78195457995667e-05
9,15,3.4182018445322315e-05
16,12,3.1295614351889434e-05
16,8,2.0168718182507483e-05
5,3,1.896785045241156e-05
7,3,1.7718361227159196e-05
16,5,1.6126498373680853e-05
1,18,1.5153713102886157e-05
0,9,1.5008215823258952e-05
16,10,9.142378683407726e-06
15,4,3.8773291440447055e-06
5,4,3.6344566764351383e-06
16,7,-1.3355273785958799e-05
10,17,-1.6094905166547102e-05
16,6,-1.6562254653587627e-05
18,10,-2.0358457583607992e-05
12,9,-2.198151769311485e-05
3,0,-2.670805932022957e-05
18,8,-3.472131166171871e-05
6,8,-3.59855726869418e-05
1,12,-4.002903280991843e-05
9,12,-4.5525434569926304e-05
9,7,-5.027044153971261e-05
