source_roi,target_roi,empirical_information_drop
12,11,0.04516486078500748
5,11,0.011218728497624397
13,11,0.010215130634605885
17,13,0.00718335248529911
12,5,0.0070151095278561115
13,17,0.006439757067710161
11,5,0.0062762717716395855
15,17,0.005477460101246834
12,13,0.004651309922337532
17,15,0.004620238672941923
14,11,0.004394238349050283
15,11,0.004170868080109358
3,11,0.0033748724963515997
15,18,0.0033539170399308205
8,15,0.0033306998666375875
15,2,0.003217450575903058
17,11,0.003142262576147914
9,5,0.00304618407972157
13,18,0.0030319143552333117
9,11,0.003003195859491825
15,14,0.002994631649926305
11,1,0.002987020183354616
13,3,0.0029758729506284
12,15,0.0029002600349485874
12,17,0.002643317449837923
17,3,0.00257838680408895
17,12,0.0024618019815534353
9,13,0.00243077939376235
17,1,0.0022896844893693924
12,14,0.0021781923715025187
5,16,0.002162419492378831
17,14,0.0021045091561973095
15,5,0.0020708078518509865
0,15,0.0020587777253240347
3,13,0.001984884263947606
14,15,0.0019727861508727074
3,1,0.001963091315701604
5,8,0.0017665899358689785
0,5,0.0017000429797917604
11,3,0.0016883468488231301
18,15,0.0016590615268796682
14,17,0.0015754553023725748
4,15,0.0015540525782853365
18,9,0.0014336701715365052
11,8,0.001405462040565908
6,5,0.0013910119887441397
0,6,0.0013757786946371198
18,13,0.0013479171320796013
5,17,0.0013439019676297903
17,4,0.0013254916993901134
7,12,0.001305885729379952
6,15,0.0012970055686309934
18,5,0.0012496287235990167
11,16,0.00123075011651963
16,11,0.001196004101075232
17,5,0.0011887396685779095
9,17,0.0011495836079120636
0,13,0.0011166866170242429
6,2,0.0011165413307026029
4,1,0.001112161437049508
9,3,0.00107489712536335
1,0,0.0010616614017635584
9,10,0.001053952961228788
3,9,0.0010456875897943974
0,14,0.001016585505567491
5,3,0.0010137282079085708
6,1,0.000973603455349803
5,6,0.000964739709161222
9,8,0.0009356512455269694
11,6,0.0009185211965814233
13,0,0.0008631975506432354
4,9,0.0008593490929342806
17,6,0.0008508097380399704
0,11,0.0008240124443545938
10,2,0.0008045246358960867
14,12,0.0007891562418080866
8,9,0.0007772477110847831
6,16,0.000774207292124629
1,5,0.0007715435931459069
6,7,0.0007696818793192506
17,16,0.0007695858948864043
14,1,0.0007530301809310913
12,1,0.0007070547435432673
5,1,0.0006992851267568767
10,15,0.0006745688151568174
7,16,0.0006710249581374228
10,18,0.0006705014384351671
0,4,0.0006658678175881505
12,4,0.0006643533706665039
14,6,0.0006580468034371734
1,18,0.0006547945667989552
11,13,0.0006277361535467207
11,14,0.000624041014816612
7,5,0.0006179308984428644
11,2,0.0006135914591141045
13,1,0.0005736559396609664
7,14,0.0005565624451264739
1,9,0.000553980702534318
18,6,0.0005509786424227059
4,13,0.0005377523484639823
4,12,0.0005362706142477691
9,12,0.0005337863694876432
16,4,0.0005182092427276075
10,12,0.0005174880498088896
4,11,0.0004956174525432289
14,5,0.0004936225013807416
0,8,0.00048343147500418127
16,10,0.00047420107875950634
0,9,0.0004702748265117407
2,5,0.00046025338815525174
14,3,0.0004564837727230042
1,8,0.0004359481390565634
3,8,0.00040388762135989964
18,1,0.0004011125420220196
5,12,0.0003997202147729695
1,3,0.0003803923027589917
3,17,0.0003724129928741604
17,10,0.0003627136757131666
4,0,0.00035976371145807207
13,12,0.000359422730980441
10,1,0.00035143710556440055
2,16,0.00033424163120798767
4,16,0.0003334065550006926
6,4,0.0003259566146880388
6,18,0.0003233087481930852
16,14,0.00029775864095427096
16,6,0.0002876841463148594
10,13,0.0002679378667380661
18,3,0.000265901762759313
11,18,0.0002637042780406773
9,15,0.00024453294463455677
2,17,0.00024373194901272655
7,1,0.0002394393814029172
2,9,0.00020907633006572723
16,12,0.00020224665058776736
9,4,0.0001929496938828379
16,5,0.00018344924319535494
4,14,0.0001812847622204572
6,14,0.0001710961078060791
1,15,0.00013771309750154614
4,8,0.00013100971409585327
2,18,0.00013067101826891303
16,15,0.00012764069833792746
1,10,0.00011938565148739144
1,16,0.00011453509068815038
0,3,0.00010483756341272965
13,5,0.00010105109686264768
16,18,8.254477143054828e-05
10,9,5.759966734331101e-05
10,5,5.5518965382361785e-05
3,12,3.527017179294489e-05
18,10,3.4430227970005944e-05
13,14,3.261300298618153e-05
2,6,2.954876072180923e-05
11,10,2.4224878870882094e-05
5,18,2.1965332052786835e-05
5,4,2.027285154326819e-05
12,9,1.3779483197140507e-05
14,4,8.614939360995777e-06
15,1,7.822084626241121e-06
16,3,2.093327566399239e-06
