source_roi,target_roi,mean_abs_coefficient
13,13,0.049367718398571014
15,15,0.03416524827480316
12,12,0.031396929174661636
5,5,0.029658876359462738
11,11,0.02466830424964428
3,3,0.02427634783089161
14,14,0.024265119805932045
4,4,0.018783435225486755
17,17,0.01821909286081791
16,16,0.017549265176057816
1,1,0.017394263297319412
2,2,0.017246928066015244
6,6,0.01661565713584423
0,0,0.01659032516181469
7,7,0.01607433706521988
18,18,0.015959909185767174
10,10,0.015733128413558006
9,9,0.015682831406593323
8,8,0.014932211488485336
12,11,0.013065806590020657
13,3,0.012751826085150242
13,0,0.01004025898873806
13,9,0.00991398748010397
11,12,0.009848109446465969
5,11,0.009198063984513283
13,10,0.009043512865900993
13,6,0.008387860842049122
5,12,0.008287116885185242
15,5,0.007845488376915455
5,15,0.0073722354136407375
11,5,0.007252829149365425
13,15,0.007051261141896248
13,14,0.006890644319355488
13,18,0.00682489387691021
12,5,0.006781106814742088
12,9,0.006684597115963697
13,8,0.006597356870770454
13,11,0.006531468126922846
12,8,0.006322899833321571
13,17,0.0063184527680277824
3,13,0.006297210231423378
5,8,0.006148393731564283
12,18,0.006091158837080002
13,5,0.0058654858730733395
13,12,0.005841847974807024
13,2,0.005840738769620657
13,7,0.005731200333684683
15,8,0.005703950300812721
17,18,0.005453844089061022
12,10,0.005433523096144199
12,7,0.005325423087924719
15,6,0.005321689881384373
12,13,0.005311251617968082
14,5,0.005238666664808989
5,9,0.005201184656471014
13,1,0.005177738144993782
14,12,0.005137568339705467
15,11,0.005134874023497105
15,18,0.005086943507194519
5,14,0.005057884845882654
14,8,0.005041736178100109
11,8,0.005039399955421686
15,9,0.0049715409986674786
12,0,0.004962855018675327
15,7,0.0049264077097177505
15,2,0.0049130236729979515
11,0,0.004910978022962809
15,14,0.004882077686488628
11,6,0.004797644913196564
11,9,0.004769331309944391
15,12,0.004748450126498938
14,9,0.0047011421993374825
15,0,0.004699276760220528
11,10,0.0046872543171048164
5,10,0.004679980222135782
13,4,0.004660767037421465
14,11,0.00464706402271986
3,5,0.004619578830897808
3,14,0.004572938196361065
12,16,0.0045201038010418415
14,15,0.004472421947866678
3,18,0.004417198244482279
5,0,0.004398158751428127
12,6,0.004370353650301695
5,7,0.0043451813980937
11,15,0.004277699626982212
15,1,0.004205361939966679
12,17,0.004162867087870836
15,10,0.00414268346503377
12,2,0.004097518045455217
14,13,0.0040837679989635944
12,4,0.004063079133629799
14,17,0.004024740774184465
15,17,0.004011210054159164
11,2,0.004005059599876404
5,18,0.003956627566367388
11,18,0.003934929147362709
3,15,0.003924922086298466
3,2,0.003853210248053074
12,15,0.003787076100707054
5,13,0.0037807615008205175
5,17,0.0037752969656139612
12,14,0.0037534956354647875
3,8,0.0037533892318606377
15,3,0.0036997587885707617
8,6,0.0036988528445363045
15,13,0.003695390187203884
14,1,0.0036905177403241396
12,3,0.003635348519310355
13,16,0.003630161751061678
18,17,0.003614925080910325
11,13,0.0036072859074920416
3,9,0.003576466580852866
17,14,0.0035506864078342915
14,0,0.0035148875322192907
3,4,0.0034930550027638674
14,10,0.003474482800811529
18,12,0.003468247363343835
12,1,0.0034577501937747
3,11,0.00344534358009696
11,7,0.0034441559109836817
3,0,0.003443674650043249
14,18,0.0034352270886301994
3,10,0.0034126818645745516
3,6,0.0034097726456820965
3,17,0.0033844562713056803
6,8,0.0033783316612243652
14,4,0.0033649071119725704
6,18,0.0033264600206166506
17,15,0.0033164634369313717
14,3,0.003303040284663439
9,8,0.0032990744803100824
17,10,0.0032577374950051308
8,10,0.003245922503992915
17,5,0.003235672600567341
14,6,0.003203349420800805
10,8,0.003190675051882863
11,14,0.003166596870869398
5,1,0.0031477906741201878
8,11,0.003141014603897929
3,16,0.0031365014147013426
8,12,0.003114027203992009
17,13,0.003112922189757228
3,7,0.0031088872347027063
5,6,0.003100683679804206
14,16,0.003097674110904336
3,12,0.003091227263212204
14,7,0.003067733021453023
17,12,0.003063977463170886
5,3,0.0030240160413086414
15,4,0.0030200534965842962
9,6,0.0030163093470036983
17,3,0.0029219433199614286
15,16,0.0029131886549293995
18,15,0.0029046270065009594
7,18,0.0028910175897181034
6,9,0.0028719347901642323
10,18,0.002866527531296015
8,5,0.002839208347722888
5,2,0.0028346155304461718
5,4,0.002809680998325348
10,17,0.0028039244934916496
11,17,0.00280168280005455
8,13,0.002796451561152935
0,9,0.002783541800454259
8,17,0.002780923154205084
18,11,0.0027765848208218813
6,7,0.0027693340089172125
7,17,0.002764900913462043
11,16,0.0027559343725442886
6,13,0.0027511545922607183
11,1,0.002750632120296359
8,15,0.0027485638856887817
0,5,0.002748218597844243
18,0,0.0027304852847009897
0,6,0.0027122285682708025
9,18,0.0027111205272376537
5,16,0.002677247393876314
6,0,0.0026711865793913603
17,9,0.002657889621332288
9,17,0.00265342160128057
7,6,0.002645916538313031
7,0,0.0026245268527418375
18,6,0.0026020496152341366
17,2,0.002593353856354952
17,0,0.0025894211139529943
18,10,0.002587259514257312
8,7,0.0025779842399060726
7,8,0.002573431236669421
17,6,0.002573278034105897
18,14,0.002572788158431649
6,12,0.002565378788858652
17,11,0.0025630095042288303
9,10,0.0025606907438486814
2,18,0.0025548129342496395
10,0,0.0025487453676760197
6,10,0.002544169081375003
0,8,0.0025435732677578926
0,17,0.002536608837544918
10,14,0.002533094957470894
17,8,0.0025243989657610655
6,11,0.002523916307836771
0,11,0.0025222774129360914
18,9,0.0025187579449266195
0,12,0.0025160731747746468
0,13,0.0025027929805219173
8,0,0.0025006781797856092
0,10,0.0024955447297543287
9,11,0.0024729471188038588
3,1,0.0024721098598092794
17,7,0.00247158738784492
0,18,0.0024664453230798244
6,1,0.002458985196426511
18,8,0.0024401496630162
14,2,0.002439026487991214
10,7,0.0024375212378799915
18,5,0.002431865083053708
8,18,0.0024308934807777405
8,4,0.0024075405672192574
10,6,0.002397289266809821
8,9,0.002391665941104293
0,15,0.0023851448204368353
18,4,0.0023843911476433277
11,4,0.002382866572588682
18,13,0.0023790127597749233
1,17,0.002374637871980667
0,14,0.0023664855398237705
18,7,0.002334403106942773
7,12,0.002330559538677335
9,0,0.0023260393645614386
8,14,0.0023222581949084997
17,4,0.002291246084496379
8,1,0.0022841370664536953
7,11,0.002284121001139283
2,0,0.002262221882119775
4,8,0.002250825287774205
18,16,0.0022458001039922237
7,5,0.002244062488898635
0,7,0.002237006090581417
2,5,0.002231488935649395
18,1,0.0022209598682820797
10,15,0.002213830593973398
1,0,0.0021897039841860533
2,7,0.002186891157180071
7,9,0.002177390269935131
