source_roi,target_roi,empirical_mi_change
12,11,0.0437304803594184
2,10,0.024948489882389735
11,5,0.02454510972519408
11,17,0.02038895177386002
10,17,0.017105732472736446
8,18,0.01692972274540805
13,0,0.016903949033747645
10,16,0.016834258137737423
3,17,0.01591058844635007
4,9,0.015368963906907174
5,3,0.015296942531505708
11,10,0.015177301726371883
7,16,0.015175337793861599
12,14,0.015099092632602784
14,17,0.015068921438486482
13,14,0.01497940685617638
11,15,0.014937247951712918
13,18,0.014389994706111298
10,6,0.014295033739717189
2,17,0.014206221987912604
12,10,0.014170696146201367
8,16,0.014158787732106548
3,5,0.01407940347422948
15,10,0.01359842417427759
1,0,0.013405968080949238
14,12,0.013390559214404685
10,0,0.013269243528546637
16,0,0.012905515211182772
0,4,0.012488279863287433
9,10,0.012127584014313242
10,15,0.01212540728489564
15,17,0.011568865466923539
15,2,0.011445414474790194
17,8,0.01138995756585598
2,0,0.011389281973879561
5,10,0.011251389956795033
17,13,0.010860962290637821
8,9,0.010855951614926695
5,18,0.010653448499869045
17,7,0.010635834395428145
14,15,0.010596534854614093
8,0,0.010524446820336708
13,8,0.010434302758559999
3,15,0.010329432336355637
13,10,0.010192605281477918
6,18,0.010099686383191642
15,6,0.01005434453970494
17,5,0.010009620886794246
3,9,0.009950676061758978
11,7,0.009693280580776675
17,3,0.0096058907834069
15,5,0.00960282350394337
3,13,0.009290521899421922
1,17,0.009248826397596721
17,18,0.009127452623874877
1,2,0.009095743762050024
1,13,0.008840133543688067
12,15,0.008632053823693808
17,12,0.008493101064488084
7,17,0.008438055046041948
10,3,0.00839725129146196
1,10,0.00829705433527994
4,17,0.008210820563988308
17,9,0.00811504996241863
2,9,0.008065872617541603
4,18,0.00799482966414894
3,0,0.00793508138144472
11,8,0.007854949526582333
5,17,0.007851250731017556
3,10,0.007592548020177059
2,16,0.007587305911454623
5,8,0.007453308823161753
18,17,0.007424542557332714
3,7,0.0072868661624097
0,10,0.007093687519777847
5,16,0.0070246017470048105
14,3,0.007006786799140352
16,5,0.006946546376409901
8,1,0.006903902527510608
0,9,0.006787782769951789
7,0,0.006760842626168273
5,14,0.0067537856486342696
9,13,0.006753769855972203
3,1,0.006700879492556044
11,9,0.006491199605156539
8,13,0.006412438423062272
0,7,0.00638069059130103
12,3,0.006242900724239275
15,13,0.006209341467438345
12,17,0.006190230651865469
8,17,0.006129307213447843
12,13,0.006046127215445063
16,6,0.0060268959748024376
8,7,0.006023194225624473
13,9,0.005823903953314502
15,18,0.005821266826169624
18,12,0.0053759906165153915
1,3,0.0053036383661591024
15,3,0.0052888331055505056
5,12,0.005075234894956093
18,10,0.005023323349259978
7,10,0.005010570779826029
3,18,0.004970289713498832
14,13,0.004842596385556841
14,10,0.004803124435174
9,17,0.004793086873820962
12,7,0.004760078141213708
7,12,0.004758823895185338
8,12,0.004689962991397456
18,13,0.004674650300756311
13,11,0.00466514308411814
13,15,0.004661275620086225
0,2,0.0045679345218354594
7,5,0.004460676428936883
16,9,0.004424763396075948
2,13,0.004381977701629514
13,6,0.004374223394717325
5,2,0.004299986619300533
9,16,0.0042705293796476695
9,0,0.004164458275266181
14,16,0.004148264448470718
2,7,0.004085036020821997
6,17,0.0039702244015988875
0,14,0.003916907112937462
16,17,0.0038744244233125946
0,13,0.003868506529219995
4,11,0.0038463726896369455
1,18,0.0037341178323882507
6,7,0.0036484105860543625
11,18,0.0035991377657606516
0,6,0.0034821422125333457
11,13,0.0034762497839674333
2,12,0.003467203779072725
18,1,0.0033989199427553185
16,15,0.0033292107526822212
17,6,0.003265020928499729
12,6,0.003245832080727651
15,0,0.0032145161416152757
9,18,0.0030907568077134795
10,12,0.003088980938045993
4,10,0.0030067948742893424
5,0,0.0029189607950189655
17,10,0.0028821411292266896
1,9,0.002866759177280187
18,16,0.002811647105985915
1,16,0.0027439428180672243
6,16,0.002741030964214186
11,0,0.0026162677857707872
15,9,0.002575931301502188
17,14,0.0025633342264697045
16,8,0.0025438576607014762
1,15,0.0024656048939225572
18,3,0.002456949683038001
4,13,0.0024270809331806698
5,11,0.00241120869613598
8,10,0.002345006605593447
9,5,0.002300936407351517
0,17,0.002116632346539027
3,6,0.002048767220884873
10,2,0.0020344102606704717
3,2,0.0020262761914080496
3,8,0.0018868202922250332
12,8,0.0018693010803344512
0,3,0.0017661936186504912
18,8,0.001761203842966852
4,5,0.0017550874689971074
10,9,0.0017012344765763854
6,9,0.0016782626010877766
6,15,0.0015348291325614216
14,2,0.0014568306100585793
16,11,0.0014474530486371373
14,7,0.0013072578394203171
3,14,0.0012168705728161644
8,5,0.001211975590260539
0,18,0.0011321531150468855
4,1,0.0011072685993012144
13,1,0.0010567150097622324
9,2,0.0010499463957049926
8,15,0.0009457755140943602
16,13,0.0008256326889611865
10,13,0.0007677043017033647
11,4,0.00044128799670617447
13,3,0.00042001454910223224
10,18,0.00041040453864704673
9,1,0.0002603360750046413
1,14,0.00021208508238279578
15,4,0.00010243180047253553
12,2,-2.7703389699262893e-05
6,0,-0.00014901490687169172
6,1,-0.00018012351078089406
18,15,-0.0002485464734576226
1,11,-0.000281850015397489
14,1,-0.0003448420280653952
5,13,-0.0003591104998019734
2,18,-0.00040350920317294703
3,12,-0.00043190560988148885
